"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","9450","0","0","0","146.8","0","0.3","0","0","0","0","0","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","9500","6.4","8","5.05","7","7.2","7","10040","71584.85","49.85","1402275","60750","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","9550","0","0","0","172.2","0","0.65","0","0","0","0","0","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","9600","6.55","9","5.25","7.5","7.5","7.5","6804","49024.13","35.33","361350","-23550","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","9650","0","0","0","199.65","0","1.25","0","0","0","0","0","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","9700","6.95","10.6","6.2","8.5","8.9","8.5","8835","64328.26","53.63","845925","35700","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","9750","9.85","9.85","9.85","9.85","9.85","9.85","2","14.64",".01","525","0","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","9800","8","14.45","7.75","10.85","11.25","10.85","8924","65663.74","72.34","789675","63600","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","9850","11.85","15","8.5","12.15","12.15","12.15","14","103.54",".12","300","150","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","9900","10.55","19.2","10.4","14.5","15.2","14.5","12780","95032.16","140.66","694650","231450","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","9950","12.55","22.8","11.1","16.4","17","16.4","76","568.17","1.02","3450","825","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10000","14.35","25.85","13.3","19.4","19.8","19.4","39818","299185.58","550.58","2812425","-130200","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10050","16.7","29.7","15.15","22.1","21.95","22.1","146","1102.74","2.27","4500","1800","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10100","19.65","33.95","17.95","25.6","26.15","25.6","15173","115220.57","285.1","894300","211650","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10150","21.15","38.45","20.15","29.55","30","29.55","288","2199.72","7.32","9675","8325","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10200","29.9","44.85","24.15","34","35","34","24553","188447.19","616.74","1372500","197550","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10250","29","51","26.1","39.65","40","39.65","841","6489.08","23.89","22950","7950","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10300","33.8","59.2","30.15","45.1","46.45","45.1","32530","252370.83","1076.58","1330350","143400","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10350","45","71.45","37","51","53.8","51","718","5598.81","25.34","18975","0","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10400","45.15","77.7","39","59.55","61","59.55","54983","431336.55","2469.15","1721475","-27225","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10450","56.7","87.1","48.05","68.45","68.5","68.45","1546","12194.21","77.43","32550","6825","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10500","55.05","100.6","51.75","78.15","80.4","78.15","120150","953076.79","6895.54","4072875","487200","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10550","57.4","112.95","55.6","90.2","90.75","90.2","2383","19009.68","154.19","61650","12825","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10600","74.05","129","74.05","102.65","105.5","102.65","100949","809919.06","7374.51","2003625","333675","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10650","89.45","145","85.5","116.25","120.4","116.25","3372","27221.27","287.42","51150","2850","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10700","101.25","164","97.3","134.2","137","134.2","106326","863573.77","10307.62","2350125","208800","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10750","102.4","183.95","99.6","152.95","154.4","152.95","5515","45085.4","620.71","92925","21225","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10800","125","207","124.15","172.05","174.95","172.05","117216","963655.49","14205.89","2239050","-105450","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10850","150.05","233.95","144.75","194.65","196.65","194.65","9248","76515.8","1260.2","175875","-58275","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10900","199.9","256.65","162.3","217.2","222.1","217.2","73164","609158.88","11043.18","1167300","-189750","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","10950","189","284.7","184.55","244.4","257.1","244.4","2055","17216.88","340.19","38775","-17925","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11000","210.4","318.45","206","271.85","275.75","271.85","34023","287079.3","6389.55","1800975","-216900","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11050","262.35","344","236.55","300.5","308.5","300.5","153","1300.65","32.67","3150","-600","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11100","277.05","385","258.75","336.85","343.9","336.85","5575","47685.79","1273.92","149025","-27600","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11150","304.55","392.5","304.55","362.9","362.9","362.9","6","51.77","1.59","825","0","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11200","327.7","463.45","323.1","407.6","415","407.6","4756","41271.11","1320.71","650925","-45525","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11250","370.5","370.5","370.5","370.5","370.5","370.5","1","8.72",".28","225","0","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11300","422","549.5","397","489.55","492","489.55","419","3690.74","139.72","224850","-5550","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11350","0","0","0","466.95","466.95","544.8","0","0","0","75","0","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11400","520","623.45","476","575.5","577.5","575.5","118","1058.72","49.82","84375","1800","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11450","0","0","0","1228.15","0","629.45","0","0","0","0","0","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11500","594.45","733.9","567.35","665.65","671","665.65","1577","14339.65","738.03","772875","-48450","10792.5"
"NIFTY","02-Jan-2019","31-Jan-2019","PE","11550","0","0","0","643.35","643.35","717.85","0","0","0","75","0","10792.5"
